"filename", "language", "JSON", "JavaScript", "XML", "CSS", "PHP", "YAML", "Vue", "Markdown", "comment", "blank", "total"
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/SecondaryButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/SectionBorder.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/SectionTitle.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Sidebar.vue", "Vue", 0, 0, 0, 0, 0, 0, 454, 0, 18, 19, 491
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/TextInput.vue", "Vue", 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Tooltip.vue", "Vue", 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 73
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Welcome.vue", "Vue", 0, 0, 0, 0, 0, 0, 89, 0, 0, 16, 105
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Layouts/AppLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, 364, 0, 19, 42, 425
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Layouts/MainLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 4, 8, 44
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/API/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/API/Partials/ApiTokenManager.vue", "Vue", 0, 0, 0, 0, 0, 0, 211, 0, 8, 37, 256
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Abonnements/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 449, 0, 8, 47, 504
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Activities/Calender.vue", "Vue", 0, 0, 0, 0, 0, 0, 98, 0, 11, 21, 130
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Activities/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 485, 0, 4, 33, 522
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Activities/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 485, 0, 1, 18, 504
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/ActivityTypes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 238, 0, 0, 9, 247
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Adherents/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 939, 0, 13, 72, 1024
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Adherents/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 705, 0, 20, 36, 761
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Association/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 598, 0, 12, 35, 645
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/ConfirmPassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 54, 0, 0, 10, 64
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/ForgotPassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 98, 0, 14, 7, 119
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 118, 0, 0, 12, 130
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/ResetPassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 82, 0, 3, 10, 95
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/TwoFactorChallenge.vue", "Vue", 0, 0, 0, 0, 0, 0, 88, 0, 0, 17, 105
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Auth/VerifyEmail.vue", "Vue", 0, 0, 0, 0, 0, 0, 51, 0, 0, 12, 63
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Dashboard.vue", "Vue", 0, 0, 0, 0, 0, 0, 426, 0, 2, 22, 450
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/DepenseTypes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 237, 0, 0, 14, 251
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Depenses/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 428, 0, 1, 30, 459
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Documents/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 161, 0, 3, 11, 175
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Groupes/Edit.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 0, 12, 77
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Groupes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 294, 0, 3, 26, 323
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Groupes/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 128, 0, 6, 11, 145
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Partials/DeleteUserForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 87, 0, 1, 18, 106
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Partials/LogoutOtherBrowserSessionsForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 115, 0, 2, 25, 142
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Partials/TwoFactorAuthenticationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 217, 0, 0, 36, 253
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Partials/UpdatePasswordForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 107, 0, 0, 12, 119
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Partials/UpdateProfileInformationForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 178, 0, 6, 31, 215
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Profile/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 41, 0, 1, 8, 50
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/ReunionTypes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 237, 0, 0, 14, 251
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Reunions/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 427, 0, 5, 40, 472
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Reunions/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 372, 0, 0, 25, 397
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/RevenueTypes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 237, 0, 0, 14, 251
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Revenues/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 425, 0, 4, 30, 459
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Status/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 231, 0, 3, 15, 249
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/StockTypes/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 237, 0, 0, 14, 251
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Stocks/Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 396, 0, 46, 25, 467
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Pages/Stocks/Show.vue", "Vue", 0, 0, 0, 0, 0, 0, 90, 0, 0, 8, 98
